occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,premisetype,occurenceday
1,7,24.0,68,4,19,1,14,110,4,14
0,4,7.0,133,6,20,0,0,26,1,11
0,4,1.0,144,3,22,0,5,6,3,7
0,3,8.0,148,6,2,1,8,33,4,8
1,6,10.0,149,5,17,0,4,79,2,4
1,10,9.0,150,6,17,3,4,82,0,12
1,1,20.0,151,6,23,1,3,44,4,29
1,1,18.0,82,4,3,1,4,75,1,0
0,4,22.0,152,3,17,0,10,47,2,26
0,2,7.0,153,1,18,0,14,24,1,11
1,3,2.0,120,6,19,1,8,9,1,22
0,7,18.0,154,6,3,1,3,79,1,0
1,2,21.0,108,0,8,1,11,15,0,21
0,7,28.0,34,1,2,1,8,33,1,18
0,5,10.0,155,2,13,3,13,21,2,4
0,11,12.0,118,4,22,1,2,2,2,28
0,9,10.0,156,5,8,1,2,13,4,4
1,8,1.0,66,4,17,3,0,53,4,7
0,6,27.0,116,1,13,1,12,83,0,15
0,5,4.0,114,4,13,1,7,120,0,30
0,4,20.0,115,5,18,2,3,79,3,29
0,10,30.0,157,3,12,1,11,15,1,19
1,1,20.0,151,6,19,1,0,26,1,29
1,6,1.0,158,2,13,0,16,50,4,7
0,6,4.0,159,3,19,0,12,80,4,30
0,7,2.0,160,4,17,1,2,69,4,22
0,7,2.0,160,4,15,1,6,116,4,22
0,3,2.0,120,3,4,0,9,57,3,22
0,5,4.0,114,4,9,1,13,21,1,30
0,5,10.0,155,2,13,1,0,12,1,4
0,5,3.0,161,2,13,1,7,8,4,27
0,6,12.0,162,0,5,1,10,23,1,28
0,6,27.0,116,1,16,0,14,24,1,15
1,0,12.0,113,0,13,3,8,19,0,28
0,8,8.0,76,5,6,1,5,12,0,8
0,8,8.0,76,5,0,1,9,95,0,8
0,8,24.0,85,3,8,0,9,49,3,14
0,4,2.0,141,0,12,0,3,44,3,22
0,4,2.0,141,0,4,3,14,24,3,22
0,4,9.0,18,0,11,1,2,92,0,12
0,4,9.0,18,0,1,0,2,86,3,12
0,4,17.0,19,1,20,1,15,114,1,6
0,4,17.0,19,1,2,1,3,44,0,6
0,4,19.0,142,4,11,1,13,13,1,10
0,4,19.0,142,4,11,1,10,23,1,10
0,4,19.0,142,4,4,0,11,15,2,10
0,4,25.0,20,2,17,1,12,121,4,13
0,4,25.0,20,2,16,0,0,53,0,13
0,4,25.0,20,2,2,0,1,11,0,13
0,4,25.0,20,2,12,3,5,6,0,13
0,2,2.0,143,4,4,0,14,24,0,22
0,2,9.0,21,4,6,1,2,92,0,12
0,2,9.0,21,4,20,2,2,40,3,12
0,2,26.0,3,3,2,3,14,34,0,3
0,0,2.0,47,6,20,0,3,79,4,22
0,0,2.0,47,6,18,0,11,94,1,22
0,0,9.0,48,6,19,0,7,122,3,12
0,0,9.0,48,6,2,1,9,109,4,12
